uid:9353999, age:97, interest:1859|9227|9665, aid:8758751, ad_kw:9484|3953|6297|8253|7989, label:1
uid:6682862, age:49, interest:3936|1410, aid:5298903, ad_kw:6759|75|3433|6362|3794, label:1
uid:4654917, age:35, interest:110|1856|4977|8932, aid:8819906, ad_kw:8156|56|7670|8746|1075, label:0
uid:9598000, age:98, interest:715|3793|6600|1478, aid:3728436, ad_kw:204|99|4248|4155, label:1
uid:6935068, age:79, interest:405|6719|7377|7132, aid:4730969, ad_kw:339|26|3856|1065, label:0
uid:2104685, age:97, interest:85|4144|1908|1155|6368, aid:8420238, ad_kw:767|1243|1557, label:1
uid:2935951, age:66, interest:199|3945|1243|1849|2157, aid:7815100, ad_kw:591|2799|9094, label:0
uid:9864003, age:47, interest:283|8816|5860|9300|1410, aid:6256864, ad_kw:522|1760|1384, label:1
uid:2894806, age:48, interest:898|8316|1393|6292|3095, aid:2191152, ad_kw:9401|8051|5909|7925, label:0
uid:7290214, age:24, interest:7886|4187|3213|3313, aid:9272494, ad_kw:6180|7632|1104|6800, label:0
uid:9381697, age:13, interest:8700|218|2460|2310, aid:9820827, ad_kw:5457|8899|8935|8477, label:0
uid:9140512, age:41, interest:3801|49|6238|2466, aid:4561997, ad_kw:4456|9476|8251|6698, label:0
uid:1227504, age:23, interest:9378|35|8256|1627, aid:6918989, ad_kw:614|6308|3883|4388, label:0
uid:6328737, age:40, interest:6376|2|9364|2756|4967, aid:7965251, ad_kw:531|8662|5262|5784, label:1
uid:2247776, age:17, interest:8204|48|9870|5487|8539, aid:3535906, ad_kw:449|6409|3563, label:1
uid:9234562, age:63, interest:2666|388|5736, aid:8261819, ad_kw:745|9430|6327, label:0
uid:6185915, age:73, interest:7039|891|4669, aid:9902313, ad_kw:848|2876, label:1
uid:4870611, age:26, interest:5199|1179|7906, aid:3777557, ad_kw:6666|6087, label:1
uid:9454297, age:76, interest:6753|3552|8672, aid:2322622, ad_kw:7975|5499, label:0
uid:8993227, age:83, interest:258|2273, aid:5440483, ad_kw:8535|5408, label:0
uid:2246873, age:28, interest:265|352|529|3244, aid:8571464, ad_kw:3807|3162|4969|8836, label:1
uid:8874975, age:87, interest:600|667|182|9644, aid:2820098, ad_kw:3590|5103|8486|9060, label:0
uid:5520261, age:98, interest:350|823|691|3424, aid:4660616, ad_kw:5434|5458|7102|1056|5691, label:1
uid:9592540, age:56, interest:612|465|327|1845, aid:7186802, ad_kw:1486|5981|7101|9382|3736, label:1
uid:5786293, age:83, interest:9179|264|200|3624|4947, aid:8701707, ad_kw:1256|2278|6896|2871|2106, label:0
